en-US	cs-cz	da-dk	de-at	de-ch	de-de	en-au	en-ca	en-gb	en-nz	es-es_tradnl	es-mx	fi-fi	fr-be	fr-ca	fr-ch	fr-fr	is-is	it-ch	it-it	nb-no	nl-be	nl-nl	sv-se	Description
FA Ledger Entry	Položka DM	Anlægsfinanspost	Anlagenposten	Anlagenposten	Anlagenposten	FA Ledger Entry	FA Ledger Entry	FA Ledger Entry	FA Ledger Entry	A/F Movimiento	A/F Movimiento	KO-tapahtuma	Écriture comptable immobilisation	Écritures immo.	Écriture comptable immobilisation	Écriture comptable immobilisation	Eignafærsla	Mov. contabili cespiti	Mov. contabili cespiti	Aktivapost	VA-post	VA-post	Anl. transaktion	"Posted fixed asset transaction (Fixed Assets). Immutable record (acquisition, depreciation, disposal etc.) affecting asset value and book; separate from G/L entry though linked."
FA Posting Type	Typ účtování DM	Anlægsbogføringstype	Anlagenbuchungsart	Anlagenbuchungsart	Anlagenbuchungsart	FA Posting Type	FA Posting Type	FA Posting Type	FA Posting Type	A/F Tipo registro	A/F Tipo registro	KO:n kirjaustyyppi	Type compta. immo.	Type de report immo.	Type compta. immo.	Type compta. immo.	Eignabókunartegund	Tipo reg. cespite	Tipo reg. cespite	Aktivabokf.type	VA-boekingssoort	VA-boekingssoort	Anl. bokföringstyp	Classification (Fixed Assets). Enumerated type (Acquisition, Depreciation, Write-Down, Appreciation, Disposal, Maintenance) determining FA ledger treatment.
Finance Charge Memo	Penále	Rentenota	Zinsrechnung	Zinsrechnung	Zinsrechnung	Finance Charge Memo	Finance Charge Memo	Finance Charge Memo	Finance Charge Memo	Documento interés	Documento interés	Viivästyskululasku	Facture d'intérêts	Note de frais financiers	Facture d'intérêts	Facture d'intérêts	Vaxtareikningur	Nota addebito interessi	Nota addebito interessi	Rentenota	Rentefactuur	Rentefactuur	Räntefaktura	"Document (Finance/AR). Issued to customer for interest/late payment fees based on overdue entries; similar lifecycle to reminders but for finance charges."
Fixed Asset	Dlouhodobý majetek	Anlæg	Anlage	Anlage	Anlage	Fixed Asset	Fixed Asset	Fixed Asset	Fixed Asset	Activo fijo	Activo fijo	Käyttöomaisuus	Immobilisation	Immobilisation	Immobilisation	Immobilisation	Eign	Cespite	Cespite	Aktiva	Vast activum	Vast activum	Anläggningstillgång	"Master record (Fixed Assets). Represents tangible or intangible asset tracked for depreciation and maintenance; holds books, posting groups, acquisition data."
Firm Planned Production Order	Pevně plánovaná výrobní zakázka	Virksomhedsfastlagt produktionsordre	Fest geplanter Fertigungsauftrag	Fest geplanter Fertigungsauftrag	Fest geplanter Fertigungsauftrag	Firm Planned Production Order	Firm Planned Production Order	Firm Planned Production Order	Firm Planned Production Order	Orden producción planificada en firme	Orden producción planificada en firme	Sitovasti suunniteltu tuotantotilaus	O.F. planifié ferme	Bon de production planifié ferme	O.F. planifié ferme	O.F. planifié ferme	Fastáætluð framleiðslupöntun	Ordine di produzione pianificato confermato	Ordine di produzione pianificato confermato	Fast planlagte produksjonsordrer	Vast geplande productieorder	Vast geplande productieorder	Fast planerad produktionsorder	"Production order status (Manufacturing). Order with quantity and components fixed but still adjustable before release; used for planning stability."
Fixed Asset Journal	Deník dlouhodobého majetku	Anlægskladde	Anlagen Buch.-Blatt	Anlagen Erf.-Journal	Anlagen Buch.-Blatt	Fixed Asset Journal	Fixed Asset Journal	Fixed Asset Journal	Fixed Asset Journal	Diario activos fijos	Diario activos fijos	Käyttöomaisuuspäiväkirja	Feuille immo	Journal immobilisation	Feuille immo	Feuille immo	Eignabók	Registraz. cespiti	Registraz. cespiti	Aktivakladd	VA-dagboek	VA-dagboek	Anlägg.tillg.journal	"Recurring or general fixed asset journal (Fixed Assets). Variant of FA Journal for repeated or periodic postings; staging before posting."
G/L Account	Finanční účet	Finanskonto	Sachkonto	Fibukonto	Sachkonto	G/L Account	G/L Account	G/L Account	G/L Account	Cuenta	Cuenta	KP-tili	Compte général	Compte du grand livre	Compte général	Compte général	Fjárhagsreikningur	Conto C/G	Conto C/G	Finanskonto	Grootboekrekening	Grootboekrekening	Redovisningskonto	"Master record (Finance). Node in Chart of Accounts accumulating posted G/L Entries; referenced by posting groups; may allow direct posting."
G/L Budget	Finanční rozpočet	Fin.budget	Finanzbudget	Finanzbudget	Finanzbudget	G/L Budget	G/L Budget	G/L Budget	G/L Budget	Ppto. contable	Ppto. contable	KP-budjetti	Budget	Budget	Budget	Budget	Fjárhagsáætlun	Budget C/G	Budget C/G	Finansbudsjett	Grootboekbudget	Grootboekbudget	Redovisningsbudget	"Budget dataset (Finance). Set of planned amounts by period and account (and dimensions) stored separately for comparison to actual; multiple named budgets supported."
G/L Entry	Věcné položky	Finanspost	Sachposten	Fibuposten	Sachposten	G/L Entry	G/L Entry	G/L Entry	G/L Entry	Mov. contabilidad	Mov. contabilidad	KP-tapahtuma	Écriture comptable	Écriture	Écriture comptable	Écriture comptable	Fjárhagsfærsla	Movimenti C/G	Movimenti C/G	Finanspost	Grootboekpost	Grootboekpost	Redovisningstransaktion	"Posted financial transaction line (Finance). Immutable record with account, amounts, dimensions; forms audit trail; produced by posting routines."
Gen. Bus. Posting Group	Obecná obch.účto skupina	Virksomhedsbogføringsgruppe	Geschäftsbuchungsgruppe	Geschäftsbuchungsgruppe	Geschäftsbuchungsgruppe	Gen. Bus. Posting Group	Gen. Bus. Posting Group	Gen. Bus. Posting Group	Gen. Bus. Posting Group	Grupo contable neg. gen.	Grupo contable neg. gen.	Ylein. liiketoim. kirjausryhmä	Groupe compta. marché	Groupe de report de marché	Groupe compta. marché	Groupe compta. marché	Alm. viðsk.bókunarflokkur	Cat. reg. business	Cat. reg. business	Bokføringsgruppe – firma	Algemene bedrijfsboekingsgroep	Algemene bedrijfsboekingsgroep	Gen. rörelsebokföringsmall	Business dimension posting group (Finance). Classifies customer/vendor side for mapping to revenue, COGS, VAT accounts with Gen. Prod. Posting Group.
Gen. Prod. Posting Group	Obecná účto skupina zboží	Produktbogføringsgruppe	Produktbuchungsgruppe	Produktbuchungsgruppe	Produktbuchungsgruppe	Gen. Prod. Posting Group	Gen. Prod. Posting Group	Gen. Prod. Posting Group	Gen. Prod. Posting Group	Grupo contable prod. gen.	Grupo contable prod. gen.	Yleinen tuotteen kirjausryhmä	Groupe compta. produit	Groupe de report de produit	Groupe compta. produit	Groupe compta. produit	Alm. vörubókunarflokkur	Cat. reg. articolo/servizio	Cat. reg. articolo/servizio	Bokføringsgruppe – vare	Productboekingsgroep	Productboekingsgroep	Produktbokföringsmall	Product dimension posting group (Finance). Classifies item/resource/service side for mapping to G/L (sales, COGS, inventory, VAT) combined with Gen. Bus. Posting Group.
General Journal	Finanční deník	Finanskladde	Fibu Buch.-Blatt	Fibu Erf.-Journal	Fibu Buch.-Blatt	General Journal	General Journal	General Journal	General Journal	Diario general	Diario general	Yleinen päiväkirja	Feuille comptabilité	Journal général	Feuille comptabilité	Feuille comptabilité	Færslubók	Contabilità generale	Contabilità generale	Finanskladd	Fin. dagboek	Fin. dagboek	Redovisningsjournal	Entry journal (Finance). Generic journal template/batch combination allowing varied line types (G/L, customer, vendor, bank) for posting to multiple ledgers.
General Ledger	Věcné položky	Finansposter	Sachposten	Fibuposten	Sachposten	General Ledger	General Ledger	General Ledger	General Ledger	Contabilidad	Contabilidad	Pääkirjanpito	Écritures comptables	Grand livre	Écritures comptables	Écritures comptables	Fjárhagur	Contabilità generale	Contabilità generale	Finans	Grootboek	Grootboek	Redovisning	"Primary accounting ledger (Finance). Aggregation of G/L Entries by account; basis for financial statements; distinct from subledgers (customer, vendor, item)."
IC Inbox Transaction	Tr.vnitrop.dor.pošty	IC-indbakketransak.	IC-Eingangstransaktion	IC-Eingangstransaktion	IC-Eingangstransaktion	IC Inbox Transaction	IC Inbox Transaction	IC Inbox Transaction	IC Inbox Transaction	Trans. band. ent. IC	Trans. band. ent. IC	Saapuneet (konserni), tapahtuma	Trans boîte récep IC	Trans. bte récep. IC	Trans boîte récep IC	Trans boîte récep IC	MF-innhólfsfærsla	Casella trans. in arrivo IC	Casella trans. in arrivo IC	Inng. KI-transaksjon	IC-inboxtransactie	IC-inboxtransactie	Konc.int. inkorgstrans.	Inbound intercompany transaction placeholder (Intercompany). Received document header awaiting acceptance/processing into local documents.
IC Outbox Transaction	Transakce vnitropodnikové pošty k odeslání	IC-udbakketransaktion	IC-Ausgangstransaktion	IC-Ausgangstransaktion	IC-Ausgangstransaktion	IC Outbox Transaction	IC Outbox Transaction	IC Outbox Transaction	IC Outbox Transaction	Transacción en bandeja de salida IC	Transacción en bandeja de salida IC	Konsernin Lähtevät-kansion tapahtuma	Transaction boîte d'envoi IC	Transaction de boîte de sortie	Transaction boîte d'envoi IC	Transaction boîte d'envoi IC	MF-úthólfsfærsla	Casella Transazione in Uscita IC	Casella Transazione in Uscita IC	Utg. KI-transaksjon	IC-outboxtransactie	IC-outboxtransactie	Konc.int. utkorgstransaktion	Outbound intercompany transaction record (Intercompany). Pending or sent transaction representing documents to partner companies.
Intercompany Partner	Vnitropodnikový partner	Koncernintern partner	Intercompanypartner	Intercompanypartner	Intercompanypartner	Intercompany Partner	Intercompany Partner	Intercompany Partner	Intercompany Partner	Socio de empresas vinculadas	Socio de empresas vinculadas	Konsernikumppani	Partenaire Intersociétés	Partenaire intercompagnie	Partenaire Intersociétés	Partenaire Intersociétés	Millifyrirtækjafélagi	Partner IC	Partner IC	Konsernintern partner	IC-partner	IC-partner	Koncernintern partner	Master (Intercompany). Defines related company (internal/external) codes, mapping, and accounts used for IC transactions.
Inbound Transfer	Vstupní transfer	Indgående overflytning	Eingehende Umlagerung	Eingehende Umlagerung	Eingehende Umlagerung	Inbound Transfer	Inbound Transfer	Inbound Transfer	Inbound Transfer	Transfer. entrada	Transfer. entrada	Saapuva siirto	Enlogement transfert	Transfert entrant	Enlogement transfert	Enlogement transfert	Millifærsla á innleið	Trasferimento in entrata	Trasferimento in entrata	Inngående overføring	Inkomende transfer	Inkomende transfer	Ankommande överföring	"Logistic movement (Inventory/Warehouse). Transfer order leg representing goods en route inbound to a location; used for availability planning."
Indirect Cost	Nepřímé náklady	Indir. omkostninger	Indirekte Kosten	Indirekte Kosten	Indirekte Kosten	Indirect Cost	Indirect Cost	Indirect Cost	Indirect Cost	Coste indirecto	Costo indirecto	Välillinen kustannus	Coût indirect	Coût indirect	Coût indirect	Coût indirect	Óbeinn kostnaður	Costo indiretto	Costo indiretto	Indirekte kost	Indirecte kosten	Indirecte kosten	Indirekt kostnad	"Costing component (Inventory/Costing). Overhead percentage or amount added to Direct Cost to form unit cost; applied via item or setup."
Inventory Posting Group	Účto skupina zboží	Varebogføringsgruppe	Lagerbuchungsgruppe	Lagerbuchungsgruppe	Lagerbuchungsgruppe	Inventory Posting Group	Inventory Posting Group	Inventory Posting Group	Inventory Posting Group	Grupo registro inventario	Grupo registro inventario	Varaston kirjausryhmä	Groupe compta. stock	Groupe de report inventaire	Groupe compta. stock	Groupe compta. stock	Birgðabókunarflokkur	Cat. reg. magazzino	Cat. reg. magazzino	Bokføringsgruppe - lager	Voorraadboekingsgroep	Voorraadboekingsgroep	Lagerbokföringsmall	"Mapping group (Inventory/Finance). Links items/SKUs to inventory, WIP, COGS accounts; works with Gen. Prod./Bus. Posting Groups."
Inventory Valuation	Hodnota zásob	Lagerværdi	Lagerwert berechnen	Lagerwert berechnen	Lagerwert berechnen	Inventory Valuation	Inventory Valuation	Inventory Valuation	Inventory Valuation	Valoración inventario	Valuación de inventarios	Varaston arvostus	Évaluation du stock	Évaluation de l'inventaire	Évaluation du stock	Évaluation du stock	Verðmæti birgða	Valutazione magazzino	Valutazione magazzino	Lagerverdisetting	Voorraadwaardering	Voorraadwaardering	Lagervärdering	"Costing process/report (Inventory/Costing). Determines current inventory value including applied item charges and adjustments; not a ledger itself."
Item	Zboží	Vare	Artikel	Artikel	Artikel	Item	Item	Item	Item	Producto	Producto	Nimike	Article	Article	Article	Article	Vara	Articolo	Articolo	Vare	Artikel	Artikel	Artikel	Master record (Inventory). Represents sellable/purchasable/consumable product or resource tracked for quantity, cost, availability.
Item Application Entry	Položka vyrovnání zboží	Vareudligningspost	Artikelausgleichsposten	Artikelausgleichsposten	Artikelausgleichsposten	Item Application Entry	Item Application Entry	Item Application Entry	Item Application Entry	Liq. mov. producto	Liq. mov. producto	Nimikkeen kohdistustapahtuma	Ecriture lettrage article	Écriture affectation article	Ecriture lettrage article	Ecriture lettrage article	Birgðajöfnunarfærsla	Mov. collegamento articoli	Mov. collegamento articoli	Vareutligningspost	Artikelvereffeningspost	Artikelvereffeningspost	Artikelkopplingstransaktion	Link record (Inventory Costing). Specifies matching between inbound and outbound Item Ledger Entries for cost flow (applies, adjustments).
Item Charge	Poplatek za zboží	Varegebyr	Artikel Zu-/Abschlag	Artikel Zu-/Abschlag	Artikel Zu-/Abschlag	Item Charge	Item Charge	Item Charge	Item Charge	Cargo prod.	Cargo prod.	Nimikekulu	Frais annexes	Frais annexes	Frais annexes	Frais annexes	Kostnaðarauki	Addebito articolo	Addebito articolo	Varegebyr	Artikeltoeslag	Artikeltoeslag	Art.omkostnad	Additional cost concept (Inventory). Represents landed or ancillary cost allocated to items via Item Charge Assignment to adjust valuation.
Item Journal	Deník zboží	Varekladde	Artikel-Buch.-Blatt	Artikel-Erf.-Journal	Artikel-Buch.-Blatt	Item Journal	Item Journal	Item Journal	Item Journal	Diario de producto	Diario de producto	Nimikepäiväkirja	Feuille article	Journal article	Feuille article	Feuille article	Birgðabók	Registrazioni articoli	Registrazioni articoli	Varekladd	Artikeldagboek	Artikeldagboek	Artikeljournal	"Journal (Inventory). Staging for adjustments, transfers, positive/negative adjustments, reclassifications; posts to Item/Value Entries."
Item Ledger Entry	Položka zboží	Varehovedbogspost	Artikelposten	Lagerposten	Artikelposten	Item Ledger Entry	Item Ledger Entry	Item Ledger Entry	Item Ledger Entry	Mov. producto	Mov. producto	Nimiketapahtumamerkintä	Écriture comptable article	Écriture article	Écriture comptable article	Écriture comptable article	Birgðafærsla	Movimento contabile articolo	Movimento contabile articolo	Varepost	Artikelpost	Artikelpost	Artikeltransaktioner	"Posted inventory transaction (Inventory). Immutable record of quantity change (inbound/outbound) with cost; basis for valuation."
Item Tracking	Sledování zboží	Varesporing	Artikelverfolgung	Artikeltracking	Artikelverfolgung	Item Tracking	Item Tracking	Item Tracking	Item Tracking	Seguim. prod.	Seguim. prod.	Nimikeseuranta	Traçabilité	Traçabilité	Traçabilité	Traçabilité	Vörurakning	Tracciabilità articolo	Tracciabilità articolo	Varesporing	Artikeltracering	Artikeltracering	Artikelspårning	"Feature (Inventory Traceability). Serial/lot/package tracking enabling trace, reservation, specific costing; managed via Item Tracking Lines."
Job Journal	Deník úloh	Sagskladde	Projekt Buch.-Blatt	Projekt Erf.-Journal	Projekt Buch.-Blatt	Job Journal	Job Journal	Job Journal	Job Journal	Diario proyectos	Diario proyectos	Työpäiväkirja	Feuille projet	Journal projet	Feuille projet	Feuille projet	Verkbók	Registrazioni commesse	Registrazioni commesse	Prosjektkladd	Projectdagboek	Projectdagboek	Projektjournal	Journal (Jobs). Staging for usage, resource, item, and G/L cost postings against job tasks prior to creating job ledger entries.
Item Tracking Line	Řádek sledování zboží	Varesporingslinje	Artikelverfolgungszeile	Artikeltrackingzeile	Artikelverfolgungszeile	Item Tracking Line	Item Tracking Line	Item Tracking Line	Item Tracking Line	Línea seguimiento producto	Línea seguimiento producto	Nimikeseurantarivi	Ligne traçabilité	Ligne traçabilité	Ligne traçabilité	Ligne traçabilité	Vörurakningarlína	Riga tracciabilità articolo	Riga tracciabilità articolo	Varesporingslinje	Artikeltraceringsregel	Artikeltraceringsregel	Artikelspårningsrad	"Detail entry (Inventory Tracking). Captures serial/lot/package allocation for a document or journal line; drives reservations and cost specificity."
Item Variant	Varianta zboží	Varevariant	Artikelvariante	Artikelvariante	Artikelvariante	Item Variant	Item Variant	Item Variant	Item Variant	Variante producto	Variante producto	Nimikevariantti	Variante article	Variante article	Variante article	Variante article	Vöruafbrigði	Varianti articoli	Varianti articoli	Varevariant	Artikelvariant	Artikelvariant	Artikelvariant	Alternate specification (Inventory). Variation of an Item (size/color/etc.) sharing base master but separate planning and availability attributes.
Job Queue	Fronta úloh	Jobkø	Aufgabenwarteschlange	Aufgabenwarteschlange	Aufgabenwarteschlange	Job Queue	Job Queue	Job Queue	Job Queue	Cola trabajo	Cola de trabajos	Työjono	File d’attente des tâches	File d’attente des tâches	File d’attente des tâches	File d’attente des tâches	Vinnsluröð	Coda processi	Coda processi	Jobbkø	Taakwachtrij	Taakwachtrij	Jobbkö	"Background scheduler (System). Executes scheduled tasks/codeunits per defined recurrence; supports categories and dependencies."
Job Queue Category	Kategorie fronty úloh	Jobkøkategori	Aufgabenwarteschlangenkategorie	Aufgabenwarteschlangenkategorie	Aufgabenwarteschlangenkategorie	Job Queue Category	Job Queue Category	Job Queue Category	Job Queue Category	Categoría cola trabajos	Categoría de cola de trabajos	Työjonoluokka	Catégorie file d’attente des tâches	Catégorie file d’attente des tâches	Catégorie file d’attente des tâches	Catégorie file d’attente des tâches	Vinnsluraðarflokkur	Categoria coda processi	Categoria coda processi	Jobbkøkategori	Taakwachtrijcategorie	Taakwachtrijcategorie	Jobbkökategori	"Classification (System). Groups job queue entries for prioritization and resource allocation; influences run ordering."
Job Queue Entry	Položka fronty úloh	Jobkøpost	Aufgabenwarteschlangenposten	Aufgabenwarteschlangenposten	Aufgabenwarteschlangenposten	Job Queue Entry	Job Queue Entry	Job Queue Entry	Job Queue Entry	Mov. cola trabajo	Mov. cola de trabajos	Työjonotapahtuma	Écriture file d’attente des tâches	Écriture file d’attente des tâches	Écriture file d’attente des tâches	Écriture file d’attente des tâches	Vinnsluraðarfærsla	Movimento coda processi	Movimento coda processi	Jobbkøoppføring	Artikel taakwachtrij	Item taakwachtrij	Jobbkötransaktion	Scheduled execution record (System). Defines object to run, parameters, recurrence, status for job queue processing.
Job Queue Log Entry	Položka protokolu fronty úloh	Logpost for jobkø	Aufgabenwarteschlangen-Protokolleintrag	Aufgabenwarteschlangen-Protokolleintrag	Aufgabenwarteschlangen-Protokolleintrag	Job Queue Log Entry	Job Queue Log Entry	Job Queue Log Entry	Job Queue Log Entry	Mov. registro cola trabajo	Mov. registro cola de trabajos	Työjonon lokitapahtuma	Écriture journal file d’attente des tâches	Écriture journal file d’attente des tâches	Écriture journal file d’attente des tâches	Écriture journal file d’attente des tâches	Skrárfærsla vinnsluraðar	Movimento log coda processi	Movimento log coda processi	Loggpost for jobbkø	Logitem taakwachtrij	Logitem taakwachtrij	Loggtransaktion för jobbkö	History (System). Logged outcome (success/failure) of job queue entry executions for diagnostics.
Journal Batch	List deníku	Kladdenavn	Buch.-Blattname	Erf.-Journalname	Buch.-Blattname	Journal Batch	Journal Batch	Journal Batch	Journal Batch	Sección diario	Sección diario	Päiväkirjan erä	Feuille	Lot journal	Feuille	Feuille	Bókarkeyrsla	Batch registrazioni	Batch registrazioni	Kladd	Dagboekbatch	Dagboekbatch	Journal	Batch (Journals). Container (Name) within a Journal Template controlling numbering, posting settings, approvals.
Journal Template	Šablona deníku	Kladdetype	Buch.-Blattvorlage	Erf.-Journalvorlage	Buch.-Blattvorlage	Journal Template	Journal Template	Journal Template	Journal Template	Libro diario	Libro diario	Päiväkirjan malli	Modèle feuille	Modèle journal	Modèle feuille	Modèle feuille	Bókarsniðmát	Definizione registrazioni	Definizione registrazioni	Kladdemal	Dagboeksjabloon	Dagboeksjabloon	Journalmall	"Template (Journals). Defines journal type behavior (General, Item, FA) and default controls; batches inherit settings."
Location	Umístění	Lokation	Lagerort	Lagerort	Lagerort	Location	Location	Location	Location	Almacén	Almacén	Sijainti	Magasin	Emplacement	Magasin	Magasin	Birgðageymsla	Ubicazione	Ubicazione	Lokasjon	Locatie	Locatie	Lagerställe	"Inventory site (Inventory/Warehouse). Physical or logical place with its own stock, bins, and policies; affects planning and costing."
Lot No.	Číslo šarže	Lotnr.	Chargennr.	Chargennr.	Chargennr.	Lot No.	Lot No.	Lot No.	Lot No.	Nº lote	Nº lote	Eränro	N° lot	N° de lot	N° lot	N° lot	Lotunr.	Nr. lotto	Nr. lotto	Partinr.	Lotnr.	Lotnr.	Partinr	"Tracking identifier (Inventory). Batch number grouping multiple units with common characteristics; required for lot-tracked items."
Machine Center	Strojní centrum	Prod.ress.	Arbeitsplatz	Arbeitsplatz	Arbeitsplatz	Machine Centre	Machine Centre	Machine Centre	Machine Centre	Centro máquina	Centro máquina	Kuormitusryhmä	Poste de charge	Unité de production	Poste de charge	Poste de charge	Vélastöð	Centro lavoro	Centro lavoro	Produksjonsressurs	Bewerkingsplaats	Bewerkingsplaats	Maskingrupp	"Capacity resource (Manufacturing). Single machine unit for routing operations; provides capacity, calendar, costs distinct from Work Center."
Machine Center Calendar	Kalendář stroj.centra	Prod.ress.kalender	Arbeitsplatzkalender	Arbeitsplatzkalender	Arbeitsplatzkalender	Machine Centre Calendar	Machine Centre Calendar	Machine Centre Calendar	Machine Centre Calendar	Calendario centro máquina	Calendario centro máquina	Kuormitusryhmän kalenteri	Calendrier poste de charge	Calendrier unité de production	Calendrier poste de charge	Calendrier poste de charge	Dagatal vélastöðvar	Calendario centri lavoro	Calendario centri lavoro	Maskinsenterkalender	Bewerkingsplaatsagenda	Bewerkingsplaatsagenda	Maskingrupp kalender	"Availability schedule (Manufacturing). Working/non-working shifts for a Machine Center; drives capacity calculation."
Machine Center Load	Zatížení strojního centra	Prod.ress.belastning	Arbeitsplatzauslastung	Arbeitsplatzauslastung	Arbeitsplatzauslastung	Machine Centre Load	Machine Centre Load	Machine Centre Load	Machine Centre Load	Carga centro máquina	Carga centro máquina	Kuormitusryhmän kuormitus	Charge poste de charge	Chargement unité de production	Charge poste de charge	Charge poste de charge	Álag á vélastöð	Carico centro lavoro	Carico centro lavoro	Maskinsenterbelastning	Werklast bew.-plaats	Werklast bew.-plaats	Maskingrupp beläggning	Load view (Manufacturing). Visual/quantitative representation of required vs available capacity for a Machine Center.
Machine Center Task List	Přehled úloh stroj.centra	Prod.ress. - opr.liste	Arbeitsplatzauftr.-Vor.-Übers.	Arbeitsplatzauftr.-Vor.-Liste	Arbeitsplatzauftr.-Vor.-Übers.	Machine Centre Task List	Machine Centre Task List	Machine Centre Task List	Machine Centre Task List	Lista tareas centro máquina	Lista tareas centro máquina	Kuormitusryhmän tehtäväluet.	Liste tâches poste de charge	Liste des tâches unité de production	Liste tâches poste de charge	Liste tâches poste de charge	Verkhlutalisti vélastöðvar	Lista task centro lavoro	Lista task centro lavoro	Maskinsenteroppgaver - oversikt	Taakoverzicht bewerkingsplaats	Taakoverzicht bewerkingsplaats	Maskingrupp körplan	Operation list (Manufacturing). Sequenced tasks assigned to a Machine Center for execution scheduling.
Machine Center Statistics	Statistika stroj.centra	Prod.ress.statistik	Arbeitsplatzstatistik	Arbeitsplatzstatistik	Arbeitsplatzstatistik	Machine Centre Statistics	Machine Centre Statistics	Machine Centre Statistics	Machine Centre Statistics	Estadísticas centro máquina	Estadísticas centro máquina	Kuormitusryhmän tilastot	Statistiques poste de charge	Statistiques unité de production	Statistiques poste de charge	Statistiques poste de charge	Upplýsingar um vélastöðvar	Statistiche centro lavoro	Statistiche centro lavoro	Maskinsentre - statistikk	Bewerkingsplaatsstatistiek	Bewerkingsplaatsstatistiek	Maskingrupp statistik	KPI summary (Manufacturing). Aggregated metrics (utilization, efficiency, variance) for Machine Center performance.
Manufacturing Setup	Nastavení výroby	Produktionsopsætning	Produktion Einrichtung	Produktion Einrichtung	Produktion Einrichtung	Manufacturing Setup	Manufacturing Setup	Manufacturing Setup	Manufacturing Setup	Configuración fabricación	Configuración fabricación	Tuotannon asetukset	Paramètres production	Configuration production	Paramètres production	Paramètres production	Framleiðslugrunnur	Setup manufacturing	Setup manufacturing	Produksjonsoppsett	Productie-instellingen	Productie-instellingen	Produktionsinställningar	Configuration (Manufacturing). Global parameters (locations, flushing, cost calc, lead times) influencing production planning and posting.
Posting Date	Zúčtovací datum	Bogføringsdato	Buchungsdatum	Buchungsdatum	Buchungsdatum	Posting Date	Posting Date	Posting Date	Posting Date	Fecha registro	Fecha registro	Kirjauspvm	Date comptabilisation	Date de report	Date comptabilisation	Date comptabilisation	Bókunardags.	Data di registrazione	Data di registrazione	Bokføringsdato	Boekingsdatum	Boekingsdatum	Bokföringsdatum	"Accounting date (Finance). Date used for ledger posting and period determination; may differ from document date."
Negative Adjustment	Výdej	Nedregulering	Abgang	Abgang	Abgang	Negative Adjustment	Negative Adjustment	Negative Adjustment	Negative Adjustment	Ajuste negativo	Ajuste negativo	Negat. muutos	Ajustement négatif	Ajustement négatif	Ajustement négatif	Ajustement négatif	Minnkun	Rettifica negativa	Rettifica negativa	Nedjustering	Negatieve herwaardering	Negatieve herwaardering	Negativ justering	"Inventory decrease entry type (Inventory). Manual or system-generated outbound quantity correcting stock; posted through Item Journal or processes."
Output Journal	Deník výstupu	Afgangskladde	FA-Istmeldungs Buch.-Blatt	FA-Istmeldungs Erf.-Journal	FA-Istmeldungs Buch.-Blatt	Output Journal	Output Journal	Output Journal	Output Journal	Diario salida	Diario salida	Tuotospäiväkirja	Feuille production	Journal de sortie	Feuille production	Feuille production	Frálagsbók	Registrazioni output	Registrazioni output	Ferdigmeldingskladd	Outputdagboek	Outputdagboek	Utflödesjournal	"Journal (Manufacturing). Staging for reporting finished output quantities and time consumption; posts Item and Capacity entries."
Outbound Transfer	Výstupní transfer	Udgående overflytning	Ausgehende Umlagerung	Ausgehende Umlagerung	Ausgehende Umlagerung	Outbound Transfer	Outbound Transfer	Outbound Transfer	Outbound Transfer	Transferencia salida	Transferencia salida	Lähtevä siirto	Désenlogement transfert	Transfert sortant	Désenlogement transfert	Désenlogement transfert	Millifærsla á útleið	Trasferimento in uscita	Trasferimento in uscita	Utgående overføring	Uitgaande transfer	Uitgaande transfer	Avgående överföring	"Logistic movement (Inventory). Goods in transit out of a location on a transfer order; affects availability until receipt."
Posting Group	Účto skupina	Bogføringsgruppe	Buchungsgruppe	Buchungsgruppe	Buchungsgruppe	Posting Group	Posting Group	Posting Group	Posting Group	Grupo de registro	Grupo de registro	Kirjausryhmä	Groupe comptabilisation	Paramètre report	Groupe comptabilisation	Groupe comptabilisation	Bókunarflokkur	Categoria registrazione	Categoria registrazione	Bokføringsgruppe	Boekingsgroep	Boekingsgroep	Bokföringsmall	"Generic mapping concept (Finance). Links master or transactions to G/L accounts (customer, vendor, inventory, VAT); specify subtype for clarity."
Price List	Ceník	Prisliste	VK-Preisliste	VK-Preisliste	VK-Preisliste	Price List	Price List	Price List	Price List	Lista de precios	Lista de precios	Hinnasto	Liste des prix	Liste des prix	Liste des prix	Liste des prix	Verðlisti	Listino prezzi	Listino prezzi	Prisliste	Prijslijst	Prijslijst	Prislista	"Pricing definition (Sales/Purchase). Structured price/discount set with validity, currency, dimensions; supersedes older price models."
Production BOM	Kusovník	Produktionsstykliste	Fertigungsstückliste	Fertigungsstückliste	Fertigungsstückliste	Production BOM	Production BOM	Production BOM	Production BOM	L.M. producción	L.M. producción	Tuotannon tuoterakenne	Nomenclature de production	Nomenclature de production	Nomenclature de production	Nomenclature de production	Framl.uppskr.	DB produzione	DB produzione	Produksjonsstykkliste	Productiestuklijst	Productiestuklijst	Prod.struktur	Bill of materials (Manufacturing). Structured list of components for production (supports versions, phantom, scrap factors). Distinct from Assembly BOM (simpler).
